PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"16884527","Statistical assessment of the global regulatory role of histone acetylation in Saccharomyces cerevisiae","Yuan GC, Ma P, Zhong W, Liu JS.","Genome Biol. 2006;7(8):R70. doi: 10.1186/gb-2006-7-8-R70. Epub 2006 Aug 2.","Yuan GC","Genome Biol","2006","2006/08/04","PMC1779595","","10.1186/gb-2006-7-8-R70"
"30179765","Bayesian geostatistical modelling of PM(10) and PM(2.5) surface level concentrations in Europe using high-resolution satellite-derived products","Beloconi A, Chrysoulakis N, Lyapustin A, Utzinger J, Vounatsou P.","Environ Int. 2018 Dec;121(Pt 1):57-70. doi: 10.1016/j.envint.2018.08.041. Epub 2018 Sep 1.","Beloconi A","Environ Int","2018","2018/09/05","PMC6295977","","10.1016/j.envint.2018.08.041"
"28783764","Prognosis impact of clinical characteristics in patients with inoperable esophageal squamous cell carcinoma","Yang Y, Jia J, Sun Z, Du F, Yu J, Liu C, Xiao Y, Zhang X.","PLoS One. 2017 Aug 7;12(8):e0182660. doi: 10.1371/journal.pone.0182660. eCollection 2017.","Yang Y","PLoS One","2017","2017/08/08","PMC5546576","","10.1371/journal.pone.0182660"
"16644898","The prognostic value of depressive symptoms, fear-avoidance, and self-efficacy for duration of lost-time benefits in workers with musculoskeletal disorders","Lötters F, Franche RL, Hogg-Johnson S, Burdorf A, Pole JD.","Occup Environ Med. 2006 Dec;63(12):794-801. doi: 10.1136/oem.2005.020420. Epub 2006 Apr 27.","Lötters F","Occup Environ Med","2006","2006/04/29","PMC2078012","","10.1136/oem.2005.020420"
"19878487","Why reduced-form regression models of health effects versus exposures should not replace QRA: livestock production and infant mortality as an example","Cox LA Jr.","Risk Anal. 2009 Dec;29(12):1664-71. doi: 10.1111/j.1539-6924.2009.01303.x. Epub 2009 Oct 29.","Cox LA Jr","Risk Anal","2009","2009/11/03","","","10.1111/j.1539-6924.2009.01303.x"
"23151990","Stochastic dynamic causal modeling of working memory connections in cocaine dependence","Ma L, Steinberg JL, Hasan KM, Narayana PA, Kramer LA, Moeller FG.","Hum Brain Mapp. 2014 Mar;35(3):760-78. doi: 10.1002/hbm.22212. Epub 2012 Nov 14.","Ma L","Hum Brain Mapp","2014","2012/11/16","PMC4440319","NIHMS673204","10.1002/hbm.22212"
"26703296","Second-generation corneal deformation signal waveform analysis in normal, forme fruste keratoconic, and manifest keratoconic corneas after statistical correction for potentially confounding factors","Zhang L, Danesh J, Tannan A, Phan V, Yu F, Hamilton DR.","J Cataract Refract Surg. 2015 Oct;41(10):2196-204. doi: 10.1016/j.jcrs.2015.11.011.","Zhang L","J Cataract Refract Surg","2015","2015/12/26","","","10.1016/j.jcrs.2015.11.011"
"25909840","Social Conditions and High Levels of Dental Caries in Five-year-old Children in Brazil","Dantas Cabral de Melo MM, de Souza WV, Tavares MC, de Lima ML, Jamelli S, Couto GB.","J Dent Child (Chic). 2015 Jan-Apr;82(1):29-35.","Dantas Cabral de Melo MM","J Dent Child (Chic)","2015","2015/04/25","","",""
"27226102","Finding causative genes from high-dimensional data: an appraisal of statistical and machine learning approaches","Wang C, Gevertz JL.","Stat Appl Genet Mol Biol. 2016 Aug 1;15(4):321-47. doi: 10.1515/sagmb-2015-0072.","Wang C","Stat Appl Genet Mol Biol","2016","2016/05/27","","","10.1515/sagmb-2015-0072"
"19854839","Mortality in renal transplant recipients given erythropoietins to increase haemoglobin concentration: cohort study","Heinze G, Kainz A, Hörl WH, Oberbauer R.","BMJ. 2009 Oct 23;339:b4018. doi: 10.1136/bmj.b4018.","Heinze G","BMJ","2009","2009/10/27","PMC2766440","","10.1136/bmj.b4018"
"16329246","Fossil calibrations and molecular divergence time estimates in centrarchid fishes (Teleostei: Centrarchidae)","Near TJ, Bolnick DI, Wainwright PC.","Evolution. 2005 Aug;59(8):1768-82.","Near TJ","Evolution","2005","2005/12/07","","",""
"19459840","A model-based approach for making ecological inference from distance sampling data","Johnson DS, Laake JL, Ver Hoef JM.","Biometrics. 2010 Mar;66(1):310-8. doi: 10.1111/j.1541-0420.2009.01265.x. Epub 2009 May 12.","Johnson DS","Biometrics","2010","2009/05/23","","","10.1111/j.1541-0420.2009.01265.x"
"20546624","Using the realized relationship matrix to disentangle confounding factors for the estimation of genetic variance components of complex traits","Lee SH, Goddard ME, Visscher PM, van der Werf JH.","Genet Sel Evol. 2010 Jun 15;42(1):22. doi: 10.1186/1297-9686-42-22.","Lee SH","Genet Sel Evol","2010","2010/06/16","PMC2903499","","10.1186/1297-9686-42-22"
"24122911","The use of propensity score methods with survival or time-to-event outcomes: reporting measures of effect similar to those used in randomized experiments","Austin PC.","Stat Med. 2014 Mar 30;33(7):1242-58. doi: 10.1002/sim.5984. Epub 2013 Sep 30.","Austin PC","Stat Med","2014","2013/10/15","PMC4285179","","10.1002/sim.5984"
"25236452","High-resolution genetic mapping of complex traits from a combined analysis of F2 and advanced intercross mice","Parker CC, Carbonetto P, Sokoloff G, Park YJ, Abney M, Palmer AA.","Genetics. 2014 Sep;198(1):103-16. doi: 10.1534/genetics.114.167056.","Parker CC","Genetics","2014","2014/09/20","PMC4174923","","10.1534/genetics.114.167056"
"22290332","Applying nonexperimental study approach to analyze historical batch data","Cui Y, Song X, Chuang K, Xie M.","J Pharm Sci. 2012 May;101(5):1865-76. doi: 10.1002/jps.23066. Epub 2012 Jan 30.","Cui Y","J Pharm Sci","2012","2012/02/01","","","10.1002/jps.23066"
"29137600","Perioperative blood transfusion does not affect recurrence-free and overall survivals after curative resection for intrahepatic cholangiocarcinoma: a propensity score matching analysis","Zhou PY, Tang Z, Liu WR, Tian MX, Jin L, Jiang XF, Wang H, Tao CY, Ding ZB, Peng YF, Qiu SJ, Dai Z, Zhou J, Fan J, Shi YH.","BMC Cancer. 2017 Nov 14;17(1):762. doi: 10.1186/s12885-017-3745-z.","Zhou PY","BMC Cancer","2017","2017/11/16","PMC5686939","","10.1186/s12885-017-3745-z"
"27716785","Using Rich Data on Comorbidities in Case-Control Study Design with Electronic Health Record Data Improves Control of Confounding in the Detection of Adverse Drug Reactions","Backenroth D, Chase H, Friedman C, Wei Y.","PLoS One. 2016 Oct 7;11(10):e0164304. doi: 10.1371/journal.pone.0164304. eCollection 2016.","Backenroth D","PLoS One","2016","2016/10/08","PMC5055309","","10.1371/journal.pone.0164304"
"23657357","The benefits of selecting phenotype-specific variants for applications of mixed models in genomics","Lippert C, Quon G, Kang EY, Kadie CM, Listgarten J, Heckerman D.","Sci Rep. 2013;3:1815. doi: 10.1038/srep01815.","Lippert C","Sci Rep","2013","2013/05/10","PMC3648840","","10.1038/srep01815"
"18703812","Disparate stroke rates on warfarin among contemporaneous cohorts with atrial fibrillation: potential insights into risk from a comparative analysis of SPORTIF III versus SPORTIF V","Hylek EM, Frison L, Henault LE, Cupples A.","Stroke. 2008 Nov;39(11):3009-14. doi: 10.1161/STROKEAHA.108.514935. Epub 2008 Aug 14.","Hylek EM","Stroke","2008","2008/08/16","","","10.1161/STROKEAHA.108.514935"
"19816876","Risk factor adjustment in marginal structural model estimation of optimal treatment regimes","Moodie EE.","Biom J. 2009 Oct;51(5):774-88. doi: 10.1002/bimj.200800182.","Moodie EE","Biom J","2009","2009/10/10","","","10.1002/bimj.200800182"
"16498611","An innovative application of Bayesian disease mapping methods to patient safety research: a Canadian adverse medical event study","MacNab YC, Kmetic A, Gustafson P, Sheps S.","Stat Med. 2006 Dec 15;25(23):3960-80. doi: 10.1002/sim.2507.","MacNab YC","Stat Med","2006","2006/02/25","","","10.1002/sim.2507"
"6648120","Log-linear model selections in a rural dental health study","Oler J, Bentley JM.","Stat Med. 1983 Jan-Mar;2(1):59-69. doi: 10.1002/sim.4780020107.","Oler J","Stat Med","1983","1983/01/01","","","10.1002/sim.4780020107"
"14640420","Sire coloration influences offspring survival under predation risk in the moorfrog","Sheldon BC, Arponen H, Laurila A, Crochet PA, Merilä J.","J Evol Biol. 2003 Nov;16(6):1288-95. doi: 10.1046/j.1420-9101.2003.00606.x.","Sheldon BC","J Evol Biol","2003","2003/12/03","","","10.1046/j.1420-9101.2003.00606.x"
