Title,DOI,Author,Relevant_methods,Relevant_simulation,Review_paper,Emma_Notes,Kate_Notes,Jonathan_Notes,Rhian_Notes,Paul_Notes
Confounding and effect modification in the short-term effects of ambient particles on total mortality: Results from 29 European cities within the APHEA2 project,https://doi.org/10.1097/00001648-200109000-00011,"Katsouyanni, K; Touloumi, G; Samoli, E; Gryparis, A; Le Tertre, A; Monopolis, Y; Rossi, G; Zmirou, D; Ballester, F; Boumghar, A; Anderson, HR; Wojtyniak, B; Paldy, A; Braunstein, R; Pekkanen, J; Schindler, C; Schwartz, J",0,0,0,Application,,,,
Selection bias and confounding in case-crossover analyses of environmental time-series data,https://doi.org/10.1097/00001648-200111000-00013,"Bateson, TF; Schwartz, J",0,1,0,,,,,
Quantifying biases in causal models:: Classical confounding <i>vs</i> collider-stratification bias,https://doi.org/10.1097/00001648-200305000-00009,"Greenland, S",0,0,0,,,,,
A Retrospective Cohort Study of Effects of Antihypertensive and Anticholinergic Medications on Outcomes Following Elective Posterior Lumbar Spine Surgery,https://doi.org/10.1097/BSD.0000000000001110,"Golubovsky JL, Karnuta JM, Lee M, Enders J, Banerjee A, Grits D, Nowacki A, Ilyas H, Steinmetz MP.",0,0,0,Application,,,,
Effect Decomposition in the Presence of an Exposure-Induced Mediator-Outcome Confounder,https://doi.org/10.1097/EDE.0000000000000034,"VanderWeele, TJ; Vansteelandt, S; Robins, JM",1,0,0,VanderWeele,,,,
Studies with Many Covariates and Few Outcomes <i>Selecting Covariates and Implementing Propensity</i>-<i>Score</i>-<i>Based Confounding Adjustments</i>,https://doi.org/10.1097/EDE.0000000000000069,"Patorno, E; Glynn, RJ; Hernández-Díaz, S; Liu, J; Schneeweiss, S",0,1,0,Specific use-case,,,,
Bias Formulas for Estimating Direct and Indirect Effects When Unmeasured Confounding Is Present,https://doi.org/10.1097/EDE.0000000000000407,"le Cessie, S",1,0,0,"Unmeasured, mediation",,,,
Diagnostics for Confounding of Time-varying and Other Joint Exposures,https://doi.org/10.1097/EDE.0000000000000547,"Jackson, JW",1,0,0,"Time-varying confounding, residual confounding",,,,
Bias Due to Confounders for the Exposure-Competing Risk Relationship,https://doi.org/10.1097/EDE.0000000000000565,"Lesko, CR; Lau, B",1,0,0,Specific use-case,,,,
Variable Selection for Confounding Adjustment in High-dimensional Covariate Spaces When Analyzing Healthcare Databases,https://doi.org/10.1097/EDE.0000000000000581,"Schneeweiss, S; Eddings, W; Glynn, RJ; Patorno, E; Rassen, J; Franklin, JM",1,0,0,"Data-based, key",,,,
Using Super Learner Prediction Modeling to Improve High-dimensional Propensity Score Estimation,https://doi.org/10.1097/EDE.0000000000000762,"Wyss R, Schneeweiss S, van der Laan M, Lendle SD, Ju C, Franklin JM.",1,1,0,Ml-based,,,,
Quantitative Bias Analysis for a Misclassified Confounder A Comparison Between Marginal Structural Models and Conditional Models for Point Treatments,https://doi.org/10.1097/EDE.0000000000001239,"Nab, L; Groenwold, RHH; van Smeden, M; Keogh, RH",1,0,0,"misclassification, MSMs, conditional",,,,
Postmyocardial Infarction Statin Exposure and the Risk of Stroke with Weighting for Outcome Misclassification,https://doi.org/10.1097/EDE.0000000000001253,"Gravel CA, Filion KB, Reynier PM, Platt RW.",0,0,0,Application,,,,
"To Adjust or Not to Adjust? When a ""Confounder"" Is Only Measured After Exposure",https://doi.org/10.1097/EDE.0000000000001312,"Groenwold, RHH; Palmer, TM; Tilling, K",1,0,0,Kate Tilling,,,,
"Deep Learning-based Propensity Scores for Confounding Control in Comparative Effectiveness Research A Large-scale, Real-world Data Study",https://doi.org/10.1097/EDE.0000000000001338,"Weberpals, J; Becker, T; Davies, J; Schmich, F; Rüttinger, D; Theis, FJ; Bauer-Mehren, A",1,0,0,"Ml-based, CER",,,,
e-Cigarette Use and Combustible Cigarette Smoking Initiation Among Youth <i>Accounting for Time-Varying Exposure and Time-Dependent Confounding</i>,https://doi.org/10.1097/EDE.0000000000001491,"Harlow, AF; Stokes, AC; Brooks, DR; Benjamin, EJ; Barrington-Trimis, JL; Ross, CS",0,0,0,Application,,,,
Inverse Probability of Treatment Weighting and Confounder Missingness in Electronic Health Record-based Analyses: A Comparison of Approaches Using Plasmode Simulation,https://doi.org/10.1097/EDE.0000000000001618,"Vader, DT; Mamtani, R; Li, Y; Griffith, SD; Calip, GS; Hubbard, RA",1,0,0,"EHR, Data-simulation",,,,
Potential confounding by exposure history and prior outcomes - An example from perinatal epidemiology,https://doi.org/10.1097/EDE.0b013e31812001e6,"Howards, PP; Schisterman, EF; Heagerty, PJ",0,0,0,Application,,,,
Model selection and health effect estimation in environmental epidemiology,https://doi.org/10.1097/EDE.0b013e31817307dc,"Dominici F, Wang C, Crainiceanu C, Parmigiani G.",1,0,0,"Specific use-case, environmental",,,,
Geographic Variations in Risk <i>Adjusting for Unmeasured Confounders Through joint Modeling of Multiple Diseases</i>,https://doi.org/10.1097/EDE.0b013e31819d90f9,"Best, N; Hansell, AL",0,0,0,,,,,
A Comparison of Methods to Estimate the Hazard Ratio Under Conditions of Time-varying Confounding and Nonpositivity,https://doi.org/10.1097/EDE.0b013e31822549e8,"Naimi, AI; Cole, SR; Westreich, DJ; Richardson, DB",0,1,1,,,,,
Sibling Comparison Designs <i>Bias From Non</i>-<i>Shared Confounders and Measurement Error</i>,https://doi.org/10.1097/EDE.0b013e31825fa230,"Frisell, T; Öberg, S; Kuja-Halkola, R; Sjölander, A",0,0,0,,,,,
Effects of Heat Waves on Mortality <i>Effect Modification and Confounding by Air Pollutants</i>,https://doi.org/10.1097/EDE.0b013e31828ac01b,"Analitis, A; Michelozzi, P; D'Ippoliti, D; de'Donato, F; Menne, B; Matthies, F; Atkinson, RW; Iñiguez, C; Basagaña, X; Schneider, A; Lefranc, A; Paldy, A; Bisanti, L; Katsouyanni, K",0,0,0,Application,,,,
Evaluating sources of bias in observational studies of angiotensin-converting enzyme inhibitor/angiotensin II receptor blocker use during COVID-19: beyond confounding,https://doi.org/10.1097/HJH.0000000000002706,"Cohen, JB; McGowan, LD; Jensen, ET; Rigdon, J; South, AM",0,0,0,Application,,,,
The directed acyclic graph helped identify confounders in the association between coronary heart disease and pesticide exposure among greenhouse vegetable farmers,https://doi.org/10.1097/MD.0000000000035073,"Li, HH; Zheng, C; Zhang, Y; Yang, HF; Li, JP",0,0,0,,,,,
Confounding Control in Healthcare Database Research <i>Challenges and Potential Approaches</i>,https://doi.org/10.1097/MLR.0b013e3181dbebe3,"Brookhart, MA; Stürmer, T; Glynn, RJ; Rassen, J; Schneeweiss, S",1,0,0,EHR,,,,
Confounding Adjustment in Comparative Effectiveness Research Conducted Within Distributed Research Networks,https://doi.org/10.1097/MLR.0b013e31829b1bb1,"Toh, S; Gagne, JJ; Rassen, JA; Fireman, BH; Kulldorff, M; Brown, JS",1,0,0,"CER, specific use-case",,,,
Inverse probability weighting in sexually transmitted infection/human immunodeficiency virus prevention research: methods for evaluating social and community interventions,https://doi.org/10.1097/OLQ.0b013e3181d73feb,"Lippman SA, Shade SB, Hubbard AE.",0,0,0,Application,,,,
Associations of antiretroviral drug use and HIV-specific risk factors with carotid intima-media thickness,https://doi.org/10.1097/QAD.0b013e32833d2132,"Delaney JA, Scherzer R, Biggs ML, Shliplak MG, Polak JF, Currier JS, Kronmal RA, Wanke C, Bacchetti P, O'leary D, Tien PC, Grunfeld C.",0,0,0,Application,,,,
Variable Selection in Heterogeneous Datasets: A Truncated-rank Sparse Linear Mixed Model with Applications to Genome-wide Association Studies,https://doi.org/10.1109/BIBM.2017.8217687,"Wang H, Aragam B, Xing EP.",1,0,0,"Heterogeneity, GWAS",,,,
Linear Deconfounded Score Method: Scoring DAGs With Dense Unobserved Confounding,https://doi.org/10.1109/TNNLS.2024.3352657,"Bellot, A; van der Schaar, M",1,0,0,"dense, unobserved",,,,
Structure inference for Bayesian multisensory scene understanding,https://doi.org/10.1109/TPAMI.2008.25,"Hospedales TM, Vijayakumar S.",0,0,0,,,,,
Conditions for non-confounding and collapsibility without knowledge of completely constructed causal diagrams,https://doi.org/10.1111/1467-9469.00087,"Geng, Z; Li, GW",1,0,0,old,,,,
Criteria for confounders in epidemiological studies,https://doi.org/10.1111/1467-9868.00321,"Geng, Z; Guo, JH; Fung, WK",1,0,0,Basic concepts,,,,
Confounding and regression adjustment in difference-in-differences studies,https://doi.org/10.1111/1475-6773.13666,"Zeldow, B; Hatfield, LA",1,0,0,Specific use-case,,,,
The effect of gene flow from unsampled demes in landscape genetic analysis,https://doi.org/10.1111/1755-0998.13267,"Shirk AJ, Landguth EL, Cushman SA.",0,0,0,Application,,,,
Estimating temporally variable selection intensity from ancient DNA data with the flexibility of modelling linkage and epistasis,https://doi.org/10.1111/1755-0998.13790,"He Z, Dai X, Lyu W, Beaumont M, Yu F.",0,0,0,Application,,,,
"Alcohol Outlets, Neighborhood Retail Environments, and Pedestrian Injury Risk",https://doi.org/10.1111/acer.13844,"Nesoff ED, Milam AJ, Branas CC, Martins SS, Knowlton AR, Furr-Holden DM.",0,0,0,Application,,,,
Confounder selection via penalized credible regions,https://doi.org/10.1111/biom.12203,"Wilson A, Reich BJ.",1,0,0,Key,,,,
Accounting for Uncertainty in Confounder and Effect Modifier Selection When Estimating Average Causal Effects in Generalized Linear Models,https://doi.org/10.1111/biom.12315,"Wang, C; Dominici, F; Parmigiani, G; Zigler, CM",1,0,0,Specific use-case,,,,
Model averaged double robust estimation,https://doi.org/10.1111/biom.12622,"Cefalu M, Dominici F, Arvold N, Parmigiani G.",1,0,0,Doubly robust,,,,
Outcome-adaptive lasso: Variable selection for causal inference,https://doi.org/10.1111/biom.12679,"Shortreed SM, Ertefaie A.",1,0,0,Key,,,,
"Discussion of ""Data-driven confounder selection via Markov and Bayesian networks"" by Haggstrom",https://doi.org/10.1111/biom.12784,"Richardson, TS; Robins, JM; Wang, LB",0,0,0,,,,,
Data-driven confounder selection via Markov and Bayesian networks,https://doi.org/10.1111/biom.12788,"Häggström, J",1,1,0,,,,,
Model-averaged confounder adjustment for estimating multivariate exposure effects with linear regression,https://doi.org/10.1111/biom.12860,"Wilson, A; Zigler, CM; Patel, CJ; Dominici, F",1,0,0,,,,,
Doubly robust matching estimators for high dimensional confounding adjustment,https://doi.org/10.1111/biom.12887,"Antonelli, J; Cefalu, M; Palmer, N; Agniel, D",1,0,0,Doubly robust,,,,
Causal inference accounting for unobserved confounding after outcome regression and doubly robust estimation,https://doi.org/10.1111/biom.13001,"Genbäck, M; de Luna, X",1,0,0,"Unobserved confounding, doubly-robust, R package",,,,
Data-adaptive longitudinal model selection in causal inference with collaborative targeted minimum loss-based estimation,https://doi.org/10.1111/biom.13135,"Schnitzer ME, Sango J, Ferreira Guerra S, van der Laan MJ.",1,0,0,,,,,
Adjusting for time-varying confounders in survival analysis using structural nested cumulative survival time models,https://doi.org/10.1111/biom.13158,"Seaman, S; Dukes, O; Keogh, R; Vansteelandt, S",1,0,0,Time-varying confounding,,,,
Doubly robust tests of exposure effects under high-dimensional confounding,https://doi.org/10.1111/biom.13231,"Dukes, O; Avagyan, V; Vansteelandt, S",1,0,0,Doubly robust,,,,
Ultra-high dimensional variable selection for doubly robust causal inference,https://doi.org/10.1111/biom.13625,"Tang D, Kong D, Pan W, Wang L.",1,0,0,Doubly robust,,,,
Spatial+: A novel approach to spatial confounding,https://doi.org/10.1111/biom.13656,"Dupont E, Wood SN, Augustin NH.",1,0,0,Spatial,,,,
Bayesian nonparametric adjustment of confounding,https://doi.org/10.1111/biom.13833,"Kim, C; Tec, M; Zigler, C",1,0,0,,,,,
Ensuring valid inference for Cox hazard ratios after variable selection,https://doi.org/10.1111/biom.13889,"Van Lancker K, Dukes O, Vansteelandt S.",1,0,0,,,,,
Response moderation models for conditional dependence between response time and response accuracy,https://doi.org/10.1111/bmsp.12076,"Bolsinova M, Tijmstra J, Molenaar D.",0,0,0,,,,,
Assessing moderated mediation in linear models requires fewer confounding assumptions than assessing mediation,https://doi.org/10.1111/bmsp.12077,"Loeys, T; Talloen, W; Goubert, L; Moerkerke, B; Vansteelandt, S",0,0,0,theory,,,,
THE EFFECT OF UNMEASURED CONFOUNDERS ON THE ABILITY TO ESTIMATE A TRUE PERFORMANCE OR SELECTION GRADIENT (AND OTHER PARTIAL REGRESSION COEFFICIENTS),https://doi.org/10.1111/evo.12406,"Walker, JA",1,0,0,,,,,
What do macroinvertebrate indices measure? Stressor-specific stream macroinvertebrate indices can be confounded by other stressors,https://doi.org/10.1111/fwb.14106,"Jones JI, Lloyd CEM, Murphy JF, Arnold A, Duerdoth CP, Hawczak A, Pretty JL, Johnes PJ, Freer JE, Stirling MW, Richmond C, Collins AL.",0,0,0,Application,,,,
Finite Normal Mixture SEM Analysis by Fitting Multiple Conventional SEM Models,https://doi.org/10.1111/j.1467-9531.2010.01224.x,"Yuan KH, Bentler PM.",0,0,0,SEMs,,,,
Selecting SNPs to identify ancestry,https://doi.org/10.1111/j.1469-1809.2011.00656.x,"Sampson JN, Kidd KK, Kidd JR, Zhao H.",0,0,0,SNPs,,,,
Why reduced-form regression models of health effects versus exposures should not replace QRA: livestock production and infant mortality as an example,https://doi.org/10.1111/j.1539-6924.2009.01303.x,Cox LA Jr.,0,0,0,Application,,,,
The performance of random coefficient regression in accounting for residual confounding,https://doi.org/10.1111/j.1541-0420.2005.00510.x,"Gustafson, P; Greenland, S",1,0,0,Residual confounding,,,,
A model-based approach for making ecological inference from distance sampling data,https://doi.org/10.1111/j.1541-0420.2009.01265.x,"Johnson DS, Laake JL, Ver Hoef JM.",0,0,0,Spatial,,,,
A New Criterion for Confounder Selection,https://doi.org/10.1111/j.1541-0420.2011.01619.x,"VanderWeele, TJ; Shpitser, I",1,0,0,VanderWeele,,,,
Bayesian effect estimation accounting for adjustment uncertainty,https://doi.org/10.1111/j.1541-0420.2011.01731.x,"Wang C, Parmigiani G, Dominici F.",1,0,0,BAC,,,,
Logistic regression: a brief primer,https://doi.org/10.1111/j.1553-2712.2011.01185.x,Stoltzfus JC.,0,0,0,Basic concepts,,,,
GC-MS metabolomics-based approach for the identification of a potential VOC-biomarker panel in the urine of renal cell carcinoma patients,https://doi.org/10.1111/jcmm.13132,"Monteiro M, Moreira N, Pinto J, Pires-Luís AS, Henrique R, Jerónimo C, Bastos ML, Gil AM, Carvalho M, Guedes de Pinho P.",0,0,0,Application,,,,
Landscape genetics across the Andes mountains: Environmental variation drives genetic divergence in the leaf-cutting ant Atta cephalotes,https://doi.org/10.1111/mec.16742,"Muñoz-Valencia V, Montoya-Lerma J, Seppä P, Diaz F.",0,0,0,Application,,,,
Introduction to causal diagrams for confounder selection,https://doi.org/10.1111/resp.12238,"Williamson, EJ; Aitken, Z; Lawrie, J; Dharmage, SC; Burgess, JA; Forbes, AB",1,0,0,Basic concepts,,,,
Regression-with-residuals estimation of marginal effects: a method of adjusting for treatment-induced confounders that may also be effect modifiers,https://doi.org/10.1111/rssa.12497,"Wodtke, GT; Alaca, Z; Zhou, X",1,0,0,Specific use-case,,,,
Selecting a scale for spatial confounding adjustment,https://doi.org/10.1111/rssa.12556,"Keller, JP; Szpiro, AA",1,0,0,Spatial,,,,
Right singular vector projection graphs: fast high dimensional covariance matrix estimation under latent confounding,https://doi.org/10.1111/rssb.12359,"Shah, RD; Frot, B; Thanei, GA; Meinshausen, N",1,0,0,Latent confounding,,,,
Multiply robust causal inference with double-negative control adjustment for categorical unmeasured confounding,https://doi.org/10.1111/rssb.12361,"Shi, X; Miao, W; Nelson, JC; Tchetgen, EJT",1,0,0,"Categorical confounding, unmeasured confounding, multiply-robust",,,,
Tackling non-ignorable dropout in the presence of time varying confounding,https://doi.org/10.1111/rssc.12154,"Doretti, M; Geneletti, S; Stanghellini, E",1,0,0,"Time-varying confounding, specific use-case",,,,
Tackling non-ignorable dropout in the presence of time varying confounding,https://doi.org/10.1111/rssc.12154,"Doretti, M; Geneletti, S; Stanghellini, E",1,0,0,"Time-varying confounding, specific use-case",,,,
Tackling Non-Ignorable Dropout in the Presence of Time Varying Confounding,https://doi.org/10.1111/rssc.12154,"Doretti, M; Geneletti, S; Stanghellini, E",1,0,0,"Time-varying confounding, specific use-case",,,,
Tackling Non-Ignorable Dropout in the Presence of Time Varying Confounding,https://doi.org/10.1111/rssc.12154,"Doretti, M; Geneletti, S; Stanghellini, E",1,0,0,"Time-varying confounding, specific use-case",,,,
Estimating the causal effect of treatment in observational studies with survival time end points and unmeasured confounding,https://doi.org/10.1111/rssc.12158,"Choi, J; O'Malley, AJ",1,0,0,"Time-varying confounding, censoring, unmeasured confounding",,,,
Estimating the Treatment Effect on the Treated Under Time-Dependent Confounding in an Application to the Swiss HIV Cohort Study,https://doi.org/10.1111/rssc.12221,"Gran, JM; Hoff, R; Roysland, K; Ledergerber, B; Young, J; Aalen, OO",0,0,0,Application,,,,
Estimating the Treatment Effect on the Treated Under Time-Dependent Confounding in an Application to the Swiss HIV Cohort Study,https://doi.org/10.1111/rssc.12221,"Gran, JM; Hoff, R; Roysland, K; Ledergerber, B; Young, J; Aalen, OO",0,0,0,Application,,,,
Estimating the treatment effect on the treated under time-dependent confounding in an application to the Swiss HIV Cohort Study,https://doi.org/10.1111/rssc.12221,"Gran, JM; Hoff, R; Roysland, K; Ledergerber, B; Young, J; Aalen, OO",0,0,0,Application,,,,
Estimating the treatment effect on the treated under time-dependent confounding in an application to the Swiss HIV Cohort Study,https://doi.org/10.1111/rssc.12221,"Gran, JM; Hoff, R; Roysland, K; Ledergerber, B; Young, J; Aalen, OO",0,0,0,Application,,,,
An instrumental variable procedure for estimating Cox models with non-proportional hazards in the presence of unmeasured confounding,https://doi.org/10.1111/rssc.12341,"Martínez-Camblor, P; MacKenzie, TA; Staiger, DO; Goodney, PP; O'Malley, AJ",1,0,0,"Instrumental, unmeasured confounding",,,,
On the effect of obesity on employment in the presence of observed and unobserved confounding,https://doi.org/10.1111/stan.12016,"Radice, R; Zanin, L; Marra, G",0,0,0,Application,,,,
Compensation of retinal nerve fibre layer thickness as assessed using optical coherence tomography based on anatomical confounders,https://doi.org/10.1136/bjophthalmol-2019-314086,"Chua, J; Schwarzhans, F; Nguyen, DQ; Tham, YC; Sia, JT; Lim, C; Mathijia, S; Cheung, C; Tin, A; Fischer, G; Cheng, CY; Vass, C; Schmetterer, L",0,0,0,Application,,,,
Mortality in renal transplant recipients given erythropoietins to increase haemoglobin concentration: cohort study,https://doi.org/10.1136/bmj.b4018,"Heinze G, Kainz A, Hörl WH, Oberbauer R.",0,0,0,Application,,,,
Handling time varying confounding in observational research,https://doi.org/10.1136/bmj.j4587,"Mansournia, MA; Etminan, M; Danaei, G; Kaufman, JS; Collins, G",1,0,0,Time-varying confounding,,,,
Alternative approaches for confounding adjustment in observational studies using weighting based on the propensity score: a primer for practitioners,https://doi.org/10.1136/bmj.l5657,"Desai, RJ; Franklin, JM",1,0,0,Basic concepts,,,,
Statin adherence and risk of acute cardiovascular events among women: a cohort study accounting for time-dependent confounding affected by previous adherence,https://doi.org/10.1136/bmjopen-2016-011306,"Lavikainen, P; Helin-Salmivaara, A; Eerola, M; Fang, G; Hartikainen, J; Huupponen, R; Korhonen, MJ",0,0,0,Application,,,,
Survival models to support shared decision-making about advance care planning for people with advanced stage cystic fibrosis,https://doi.org/10.1136/bmjresp-2020-000794,"Hajizadeh N, Zhang M, Akerman M, Kohn N, Mathew A, Hadjiliadis D, Wang J, Lesser ML.",0,0,0,Application,,,,
Impact of parity on anthropometric measures of obesity controlling by multiple confounders: a cross-sectional study in Chilean women,https://doi.org/10.1136/jech.2007.062240,"Koch, E; Bogado, M; Araya, F; Romero, T; Diaz, C; Manriquez, L; Paredes, M; Roman, C; Taylor, A; Kirschbaum, A",0,0,0,Application,,,,
Controlling for socioeconomic confounding using regression methods,https://doi.org/10.1136/jech.49.Suppl_2.S15,"Bithell, JF; Dutton, SJ; Neary, NM; Vincent, TJ",0,0,0,"Old, specific use-case",,,,
A standardisation approach to the control of socioeconomic confounding in small area studies of environment and health,https://doi.org/10.1136/jech.49.Suppl_2.S9,"Dolk, H; Mertens, B; Kleinschmidt, I; Walls, P; Shaddick, G; Elliott, P",0,0,0,Specific use-case,,,,
"The prognostic value of depressive symptoms, fear-avoidance, and self-efficacy for duration of lost-time benefits in workers with musculoskeletal disorders",https://doi.org/10.1136/oem.2005.020420,"Lötters F, Franche RL, Hogg-Johnson S, Burdorf A, Pole JD.",0,0,0,Application,,,,
"Selection, calibration, and validation of models of tumor growth",https://doi.org/10.1142/S021820251650055X,"Lima EABF, Oden JT, Hormuth DA 2nd, Yankeelov TE, Almeida RC.",0,0,0,Application,,,,
Treatment Effect Estimation via Differentiated Confounder Balancing and Regression,https://doi.org/10.1145/3365677,"Kuang, K; Cui, P; Li, B; Jiang, M; Wang, YS; Wu, F; Yang, SQ",1,0,0,"Data-based, key",,,,
Choice Set Confounding in Discrete Choice,https://doi.org/10.1145/3447548.3467378,"Tomlinson, K; Ugander, J; Benson, AR",0,0,0,Specific use-case,,,,
Causal Mediation Analysis with Hidden Confounders,https://doi.org/10.1145/3488560.3498407,"Cheng, L; Guo, RC; Liu, H",1,0,0,,,,,
Be Causal: De-Biasing Social Network Confounding in Recommendation,https://doi.org/10.1145/3533725,"Li, Q; Wang, XM; Wang, ZC; Xu, GD",1,0,0,Missingness,,,,
Statistical foundations for model-based adjustments,https://doi.org/10.1146/annurev-publhealth-031914-122559,"Greenland S, Pearce N.",1,0,0,Basic concepts,,,,
Confounding in health research,https://doi.org/10.1146/annurev.publhealth.22.1.189,"Greenland, S; Morgenstern, H",0,0,0,,,,,
Chronic Periodontitis Case Definitions and Confounders in Periodontal Research: A Systematic Assessment,https://doi.org/10.1155/2018/4578782,"Natto, ZS; Abu Ahmad, RH; Alsharif, LT; Alrowithi, HF; Alsini, DA; Salih, HA; Bissada, NF",0,0,0,Application,,,,
Relationships between Loneliness and Occupational Dysfunction in Community-Dwelling Older Adults: A Cross-Sectional Study,https://doi.org/10.1155/2023/9505865,"Nakashima D, Fujii K, Kubo Y, Yorozuya K.",0,0,0,Application,,,,
Assessing risk factors for dental caries: a statistical modeling approach,https://doi.org/10.1159/000369831,"Trottini M, Bossù M, Corridore D, Ierardo G, Luzzi V, Saccucci M, Polimeni A.",0,0,0,Application,,,,
"A Bagged, Partially Linear, Tree-Based Regression Procedure for Prediction and Variable Selection",https://doi.org/10.1159/000380850,"Mbogning C, Perdry H, Broët P.",1,0,0,Key,,,,
Propensity Score Methods for Confounding Control in Nonexperimental Research,https://doi.org/10.1161/CIRCOUTCOMES.113.000359,"Brookhart, MA; Wyss, R; Layton, JB; Stürner, T",1,0,0,Basic concepts,,,,
Disparate stroke rates on warfarin among contemporaneous cohorts with atrial fibrillation: potential insights into risk from a comparative analysis of SPORTIF III versus SPORTIF V,https://doi.org/10.1161/STROKEAHA.108.514935,"Hylek EM, Frison L, Henault LE, Cupples A.",0,0,0,Application,,,,
Understanding logistic regression analysis,https://doi.org/10.11613/BM.2014.003,Sperandei S.,0,0,0,,,,,
ParceLiNGAM: A Causal Ordering Method Robust Against Latent Confounders,https://doi.org/10.1162/NECO_a_00533,"Tashiro, T; Shimizu, S; Hyvärinen, A; Washio, T",1,0,0,Latent confounding,,,,
Neural Correlates of Causal Confounding,https://doi.org/10.1162/jocn_a_01479,"Liljeholm, M",0,0,0,Application,,,,
Confounder Detection in High-Dimensional Linear Models Using First Moments of Spectral Measures,https://doi.org/10.1162/neco_a_01099,"Liu, FR; Chan, LW",1,0,0,Identification,,,,
Impact of a confounding variable on a regression coefficient,https://doi.org/10.1177/0049124100029002001,"Frank, KA",1,0,0,Basic concepts,,,,
Omitted Variable Bias: Examining Management Research With the Impact Threshold of a Confounding Variable (ITCV),https://doi.org/10.1177/01492063211006458,"Busenbark, JR; Yoon, H; Gamache, DL; Withers, MC",0,0,0,Application,,,,
Sensitivity Plots for Confounder Bias in the Single Mediator Model,https://doi.org/10.1177/0193841X14524576,"Cox, MG; Kisbu-Sakarya, Y; Miocevic, M; MacKinnon, DP",1,0,0,"Mediation, sensitivity",,,,
On model selection and model misspecification in causal inference,https://doi.org/10.1177/0962280210387717,"Vansteelandt S, Bekaert M, Claeskens G.",1,0,0,model misspecification,,,,
Consistent causal effect estimation under dual misspecification and implications for confounder selection procedures,https://doi.org/10.1177/0962280212437451,"Gruber, S; van der Laan, MJ",1,0,0,model misspecification,,,,
Estimating controlled direct effects in the presence of intermediate confounding of the mediator-outcome relationship: Comparison of five different methods,https://doi.org/10.1177/0962280212461194,"Lepage, B; Dedieu, D; Savy, N; Lang, T",1,0,1,Mediation,,,,
Causal effect estimation strategies in a longitudinal study with complex time-varying confounders: A tutorial,https://doi.org/10.1177/0962280214545529,"Mertens, BJA; Datta, S; Brand, R; Peul, W",0,0,0,Application,,,,
A two-stage model in a Bayesian framework to estimate a survival endpoint in the presence of confounding by indication,https://doi.org/10.1177/0962280216660127,"Bellera, C; Proust-Lima, C; Joseph, L; Richaud, P; Taylor, J; Sandler, H; Hanley, J; Mathoulin-Pélissier, S",1,0,0,Confounding by indication,,,,
Comparison of statistical approaches dealing with time-dependent confounding in drug effectiveness studies,https://doi.org/10.1177/0962280216668554,"Karim, ME; Petkau, J; Gustafson, P; Platt, RW; Tremlett, H",1,0,0,"Time-varying confounding, CER",,,,
A graphical perspective of marginal structural models: An application for the estimation of the effect of physical activity on blood pressure,https://doi.org/10.1177/0962280216680834,"Talbot D, Rossi AM, Bacon SL, Atherton J, Lefebvre G.",0,0,0,Application,,,,
Addressing geographic confounding through spatial propensity scores: a study of racial disparities in diabetes,https://doi.org/10.1177/0962280217735700,"Davis, ML; Neelon, B; Nietert, PJ; Hunt, KJ; Burgette, LF; Lawson, AB; Egede, LE",0,0,0,Application,,,,
A stratification approach using logit-based models for confounder adjustment in the study of continuous outcomes,https://doi.org/10.1177/0962280217747309,"Tan, CS; Stoer, NC; Chen, Y; Andersson, M; Ning, YL; Wee, HL; Khoo, EYH; Tai, ES; Kao, SL; Reilly, M",1,0,0,Continuous outcome,,,,
Adjustment for time-invariant and time-varying confounders in 'unexplained residuals' models for longitudinal data within a causal framework and associated challenges,https://doi.org/10.1177/0962280218756158,"Arnold, KF; Ellison, GTH; Gadd, SC; Textor, J; Tennant, PWG; Heppenstall, A; Gilthorpe, MS",1,0,0,"Time-varying confounding, unexplained residuals",,,,
A Bayesian two-stage spatially dependent variable selection model for space-time health data,https://doi.org/10.1177/0962280218767980,"Choi J, Lawson AB.",1,0,0,Spatio-temporal,,,,
Propensity score analysis for correlated subgroup effects,https://doi.org/10.1177/0962280219850595,"Liu SY, Liu C, Nehus E, Macaluso M, Lu B, Kim MO.",0,0,0,,,,,
How to obtain valid tests and confidence intervals after propensity score variable selection?,https://doi.org/10.1177/0962280219862005,"Dukes O, Vansteelandt S.",0,0,0,,,,,
The impact of unmeasured within- and between-cluster confounding on the bias of effect estimatorsof a continuous exposure,https://doi.org/10.1177/0962280219883323,"Li, Y; Lee, Y; Port, FK; Robinson, BM",1,0,0,"Clustering, continuous exposure",,,,
Variable selection and estimation in causal inference using Bayesian spike and slab priors,https://doi.org/10.1177/0962280219898497,"Koch B, Vock DM, Wolfson J, Vock LB.",1,0,0,,,,,
Propensity score specification for optimal estimation of average treatment effect with binary response,https://doi.org/10.1177/0962280220934847,"Craycroft JA, Huang J, Kong M.",1,1,0,,,,,
Unifying instrumental variable and inverse probability weighting approaches for inference of causal treatment effect and unmeasured confounding in observational studies,https://doi.org/10.1177/0962280220971835,"Liu, T; Hogan, JW",1,0,0,"Unmeasured, instrumental",,,,
The change in estimate method for selecting confounders: A simulation study,https://doi.org/10.1177/09622802211034219,"Talbot, D; Diop, A; Lavigne-Robichaud, M; Brisson, C",1,1,0,,,,,
